address,city,category,price_text,price_eur,features,link
"Lienes iela 6A, Majori",Jūrmala,"Cits, Investīciju objekts",450 000 €,450000,677 m²1100 m²35 ist.,https://www.city24.lv/real-estate/commercials-for-sale/jurmala-majori-lienes-iela/1017536?i=0
Liliju iela 12,"Mārupe, Mārupes nov.",,490 000 €,490000,855 m²3002 m²,https://www.city24.lv/real-estate/commercials-for-sale/marupes-nov-marupe-liliju-iela/2079912?i=1
"Asara, Centrs",Rīga,,1 300 000 €,1300000,1723 m²1000 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-asara/8812577?i=2
Miglači,"Raiskums, Raiskuma pag., Cēsu nov.","Noliktava/ražošana, Cits",195 000 €,195000,1184.5 m²10023 m²1/2 st.,https://www.city24.lv/real-estate/commercials-for-sale/cesu-nov-raiskuma-pag-raiskums/8120050?i=3
"Blaumaņa iela 6, Centrs",Rīga,"Birojs, Investīciju objekts, Tirdzniecība, Cits",145 000 €,145000,145.8 m²1 m²,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-blaumana-iela/3786716?i=4
"Andreja Pumpura iela 6, Centrs",Rīga,"Ēdināšanas pakalpojumi, Tirdzniecība, Birojs",630 000 €,630000,182 m²1/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-andreja-pumpura-iela/3006348?i=5
"Senču iela 4, Centrs",Rīga,Birojs,2 100 000 €,2100000,3204 m²5606 m²20 ist.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-sencu-iela/3961337?i=6
"Kurbada iela 4, Centrs",Rīga,,1 250 000 €,1250000,1284 m²1420 m²8 ist.1/2 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-kurbada-iela/1907999?i=7
"Hospitāļu iela 8, Centrs",Rīga,"Birojs, Tirdzniecība, Investīciju objekts",Jauna cena160 000 €,160000,127 m²5 ist.1/5 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-hospitalu-iela-8/8586305?i=8
Daugavgrīvas iela 132/1,,"Tirdzniecība, Birojs, Noliktava/ražošana, Investīciju objekts",93 000 €,93000,157.3 m²8 ist.1/5 st.,https://www.city24.lv/real-estate/commercials-for-sale/daugavgrivas-iela/9093907?i=9
Timotiņu iela 7,"Carnikavas pag., Ādažu nov.",Birojs,249 990 €,249990,1183 m²8372 m²75 ist.3/3 st.,https://www.city24.lv/real-estate/commercials-for-sale/adazu-nov-carnikavas-pag-timotinu-iela/5547338?i=10
"Slokas iela 13 A, Āgenskalns",Rīga,"Tirdzniecība, Birojs, Noliktava/ražošana",83 500 €,83500,125.7 m²6 ist.1/4 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-agenskalns-slokas-iela/7979920?i=11
"Dzirnavu iela 6, Centrs",Rīga,Investīciju objekts,190 000 €,190000,115 m²6 ist.1/4 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-dzirnavu-iela/1735495?i=12
"Elijas iela 20, Centrs",Rīga,Noliktava/ražošana,9 900 €,9900,224 m²4 ist.1/6 st.,https://www.city24.lv/real-estate/commercials-for-sale/riga-centrs-elijas-iela/9106726?i=13
